title,category,url,days_old
How serious is Labour backlash over asylum plans?,politics,https://www.bbc.com/news/articles/ckgydj7qllpo?at_medium=RSS&at_campaign=rss,7
The £5.30 orange juice that tells the story of why supermarket prices are sky high,business,https://www.bbc.com/news/articles/c397n3jl3z8o?at_medium=RSS&at_campaign=rss,7
How Olivia Nuzzi and Ryan Lizza Became Main Characters on Social Media,politics,https://www.nytimes.com/2025/11/21/style/olivia-nuzzi-ryan-lizza-rfk-jr-affair.html,1
"Hancock ignored call to test all NHS staff, Covid inquiry hears",health,https://www.bbc.com/news/articles/cwywj1nj7jwo?at_medium=RSS&at_campaign=rss,0
"We were not treated as parents, Covid inquiry told",health,https://www.bbc.com/news/articles/c70z1ppyv5eo?at_medium=RSS&at_campaign=rss,3
Instagram to start closing Australian teen accounts ahead of social media ban,tech,https://www.bbc.com/news/articles/cz919xyx7weo?at_medium=RSS&at_campaign=rss,0
What the Reeves emails tell us in rental licence row,politics,https://www.bbc.com/news/articles/cj41y1ze9jyo?at_medium=RSS&at_campaign=rss,7
How TikTok Helped Meta Land an Antitrust Victory,tech,https://www.nytimes.com/2025/11/18/technology/meta-google-antitrust-tech.html,6
'Getting financial help through my GP has improved my health',health,https://www.bbc.com/news/articles/c0rpq9y2gq0o?at_medium=RSS&at_campaign=rss,7
Cassidy Got Pledges From RFK Jr. on Vaccines. They Haven’t Stuck.,health,https://www.nytimes.com/2025/11/21/us/politics/cassidy-cdc-vaccines-autism.html,0
Experimental therapy gantenerumab fails to slow or improve Alzheimer's memory loss in clinical trials,health,https://www.cnn.com/2022/11/14/health/gantenerumab-fails-clinical-trials-alzheimers/index.html,4
Retiring Before (or After) Your Partner? How to Navigate Money Issues,business,https://www.nytimes.com/2025/11/22/business/couples-retirement-planning.html,4
Mexico Is Now the United States’ Top Buyer,business,https://www.nytimes.com/2025/11/19/world/americas/us-mexico-trade.html,5
NHS waiting list down - how is your hospital doing?,health,https://www.bbc.com/news/articles/c3dn3ryl3p7o?at_medium=RSS&at_campaign=rss,6
Google boss says trillion-dollar AI investment boom has 'elements of irrationality',tech,https://www.bbc.com/news/articles/cwy7vrd8k4eo?at_medium=RSS&at_campaign=rss,3
Fire-blocking chemicals promise safer buildings,tech,https://www.bbc.com/news/articles/ckgkee0pw4ko?at_medium=RSS&at_campaign=rss,1
'Traumatic wait' for women facing breast cancer diagnoses,health,https://www.bbc.com/news/articles/c7812322gz3o?at_medium=RSS&at_campaign=rss,0
Why debit cards can cost more than credit cards,business,https://www.bbc.com/news/videos/czjpz97w2ejo?at_medium=RSS&at_campaign=rss,3
Is Scalp Care the New Big Beauty Trend?,health,https://www.nytimes.com/2025/11/20/style/scalp-care-beauty-trends-2025.html,4
The curious case of why Poundland is struggling during a cost-of-living crisis,business,https://www.bbc.com/news/articles/c4gkgxeeyzno?at_medium=RSS&at_campaign=rss,3
Netherlands Hands Back Control of Chinese-Owned Chipmaker Nexperia,tech,https://www.nytimes.com/2025/11/19/business/nexperia-netherlands-china-chips.html,7
Ever feel the need to switch off? Your vagus nerve might hold the key,health,https://www.bbc.com/news/articles/cy0k9yz5wexo?at_medium=RSS&at_campaign=rss,5
Fuzzy first photo of a black hole gets a sharp makeover,health,https://www.cnn.com/2023/04/14/world/sharp-black-hole-image-scn/index.html,2
The Boston Celtics become the first team to hit 30 wins this season with victory over the New Orleans Pelicans,sports,https://www.cnn.com/2023/01/12/sport/boston-celtics-30-wins-pelicans-nba-spt-intl/index.html,5
"Overlooked No More: Sabina Spielrein, Visionary Lost Between Freud and Jung",health,https://www.nytimes.com/2025/11/14/obituaries/sabina-spielrein-overlooked.html,0
The English neighbourhood that claims to hold the secret to fixing the NHS,health,https://www.bbc.com/news/articles/cn4w2p79v9eo?at_medium=RSS&at_campaign=rss,0
"Help! My Rental Car Died Within a Mile, and Avis Charged Me $1,367.",business,https://www.nytimes.com/2025/11/20/travel/avis-rental-car-repair-charges.html,1
Job Gains Disguise Weakness Beyond Service Industries,business,https://www.nytimes.com/2025/11/20/business/economy/jobs-report-september.html,2
"The Best Motorola Phones (2025), Tested and Reviewed",tech,https://www.wired.com/story/best-motorola-phones/,0
"Judge rules Meta doesn't have monopoly after Instagram, WhatsApp acquisitions",tech,https://www.bbc.com/news/articles/crklgrpdke8o?at_medium=RSS&at_campaign=rss,7
"Funding NHS facilities with private finance a breach of manifesto, Labour MPs say",politics,https://www.bbc.com/news/articles/cp8y8g7djxlo?at_medium=RSS&at_campaign=rss,3
Peacock Promo Code & Deals: 16% Off November 2025,tech,https://www.wired.com/story/peacock-promo-code/,6
Iranian chess referee fears ostracism over her activism,sports,https://www.cnn.com/2023/01/12/sport/iranian-chess-referee-shohreh-bayat-russia-spt-intl/index.html,4
Europe scrambles for counter-proposal to US-Russian plan for Ukraine,politics,https://news.sky.com/story/european-leaders-are-scrambling-for-counter-proposal-to-us-russian-peace-plan-for-ukraine-13473899,6
Everything we know about China's new 'super embassy',politics,https://news.sky.com/story/everything-we-know-about-chinas-new-super-embassy-13436706,7
MP's aide reported suspected China LinkedIn approach,politics,https://www.bbc.com/news/articles/c1k091l2w1yo?at_medium=RSS&at_campaign=rss,6
Teens plead not guilty over TfL cyber-attack,tech,https://www.bbc.com/news/articles/cvgjxlgyx87o?at_medium=RSS&at_campaign=rss,7
Dutch government suspends intervention into chipmaker Nexperia,business,https://www.bbc.com/news/articles/cz7p7j83rn1o?at_medium=RSS&at_campaign=rss,5
55 Best Early Black Friday Deals on WIRED-Tested Gear (2025),tech,https://www.wired.com/story/early-black-friday-deals-2025-2/,7
4 People Indicted in Alleged Conspiracy to Smuggle Supercomputers and Nvidia Chips to China,tech,https://www.wired.com/story/smuggling-supercomputers-china-nvidia-indictment/,2
What the Jobs Report Tells Us About the Economy,business,https://www.nytimes.com/video/business/economy/100000010534118/what-the-jobs-report-tells-us-about-the-economy.html,5
"Don't blindly trust what AI tells you, says Google's Sundar Pichai",tech,https://www.bbc.com/news/articles/c8drzv37z4jo?at_medium=RSS&at_campaign=rss,5
Could Reeves break a 50-year taboo by raising income tax in her Budget?,politics,https://www.bbc.com/news/articles/c74jvm17d79o?at_medium=RSS&at_campaign=rss,7
Trump Offers a Ukraine Peace Plan the Kremlin Can Love,politics,https://www.nytimes.com/2025/11/22/us/politics/trump-ukraine-russia-peace-plan-kremlin.html,6
"Eli Lilly, Drug Maker of Zepbound and Mounjaro, Reaches $1 Trillion in Value",health,https://www.nytimes.com/2025/11/21/health/eli-lilly-one-trillion-value-pharmaceuticals.html,7
'A predator in your home': Mothers say chatbots encouraged their sons to kill themselves,health,https://www.bbc.com/news/articles/ce3xgwyywe4o?at_medium=RSS&at_campaign=rss,7
The striking Swedish workers taking on carmaker Tesla,business,https://www.bbc.com/news/articles/c5y9082q0jjo?at_medium=RSS&at_campaign=rss,7
"Supreme Court, For Now, Keeps in Place Texas Republican-Friendly Congressional Map",politics,https://www.nytimes.com/2025/11/21/us/politics/supreme-court-texas-congressional-map.html,2
